#software 	group     	grplic    	depth     
xxxxxx    	xxxxxx    	xxxxxx    	1         
amber     	amber     	lic_main  	5         
freesurfer	fsurfer   	hpcsoft   	1         
fsl       	fsl       	hpcsoft   	1         
gatk      	gatk      	hpcsoft   	1         
gaussian  	GaussC    	lic_main  	1         
mutect    	mutect    	hpcsoft   	1         
rosetta   	rosetta   	hpcsoft   	3         
stata     	stata     	lic_main  	1         
turbomole 	turbo     	lic_main	1         
nbo       	nbo       	lic_main  	1         
desmond   	desmond   	hpcsoft   	1         
orca		orca		lic_main	5
